ID_ch_wc_cru;ID_iucn;species
857;1917;Peromyscus gratus
858;1918;Peromyscus leucopus
859;1920;Cratogeomys castanops
860;1922;Sicista severtzovi
861;1923;Paradipus ctenodactylus
862;1925;Paraxerus palliatus
863;1929;Paraxerus poensis
864;1931;Peromyscus pectoralis
865;1932;Paraxerus boehmi
866;1933;Paraxerus cepapi
867;1934;Paraxerus flavovittis
868;1936;Paraxerus ochraceus
869;1937;Parotomys brantsii
870;1938;Parotomys littledalei
871;1941;Pectinator spekei
872;1942;Pedetes capensis
873;1943;Pelomys campanae
874;1944;Pelomys fallax
875;1945;Perognathus flavescens
876;1946;Peromyscus boylii
877;1948;Peromyscus truei
878;1950;Perognathus flavus
879;1951;Perognathus longimembris
880;1952;Perognathus merriami
881;1953;Peromyscus crinitus
882;1956;Petaurista alborufus
883;1958;Petaurista petaurista
884;1959;Peromyscus melanophrys
885;1960;Peromyscus melanotis
886;1962;Peromyscus nasutus
887;1964;Phodopus campbelli
888;1965;Phodopus roborovskii
889;1966;Phodopus sungorus
890;1978;Procapra picticaudata
891;1981;Praomys jacksoni
892;1983;Procapra gutturosa
893;1984;Protoxerus stangeri
894;1985;Psammomys obesus
895;1988;Pseudomys desertor
896;1989;Pseudoryzomys simplex
897;1990;Pteromys volans
898;1991;Pteronotus personatus
899;1994;Pygeretmus platyurus
900;1995;Pygeretmus pumilio
901;1997;Rattus argentiventer
902;2001;Rattus exulans
903;2004;Rattus fuscipes
904;2006;Rattus losea
905;2007;Rattus rattus
906;2010;Rattus nitidus
907;2011;Rattus andamanensis
908;2012;Neomys anomalus
909;2013;Neomys fodiens
910;2017;Reithrodontomys fulvescens
911;2019;Reithrodontomys megalotis
912;2020;Sorex araneus
913;2021;Sorex coronatus
914;2022;Sorex isodon
915;2023;Sorex minutissimus
916;2024;Sorex minutus
917;2028;Rattus tanezumi
918;2029;Rattus tunneyi
919;2031;Saccostomus campestris
920;2032;Rattus pyctoris
921;2033;Rattus villosissimus
922;2035;Reithrodon auritus
923;2036;Reithrodontomys mexicanus
924;2037;Reithrodontomys montanus
925;2038;Cebus albifrons
926;2042;Sciurus niger
927;2044;Rhipidomys leucodactylus
928;2045;Rhipidomys mastacalis
929;2047;Rhizomys pruinosus
930;2048;Rhizomys sinensis
