TaxID,Order,Family,Genus,species,AdultBodyMass_g,GenerationLength_d,Sources_AdultBodyMass,Max_longevity_d,Sources_Max_longevity,Rspan_d,AFR_d,Data_AFR,Calculated_GL_d,,Sources_GL
11493,Rodentia,Muridae,Lemniscomys,Lemniscomys_rosalia,49.92,476.46485,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11494,Rodentia,Muridae,Lemniscomys,Lemniscomys_roseveari,37.04333333,476.46485,Mean_congenerics,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11495,Rodentia,Muridae,Lemniscomys,Lemniscomys_striatus,43.65,476.46485,PanTHERIA,1332.25,PanTHERIA;AnAge,1275.965,106.435,calculated,476.46485,,Rspan-AFR(SM+Gest)
41212,Rodentia,Muridae,Lemniscomys,Lemniscomys_zebra,26.51,476.46485,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11496,Primates,Lemuridae,Lemur,Lemur_catta,2626.48,2920,PanTHERIA,12282.25,PanTHERIA;AnAge,11415.38,866.87,PanTHERIA,4177.3302,,GMA
11498,Rodentia,Muridae,Lenomys,Lenomys_meyeri,150,639.6318318,Verde_Arregoitia_et_al._2013,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11499,Rodentia,Muridae,Lenothrix,Lenothrix_canus,150,639.6318318,PanTHERIA,1387,PanTHERIA,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11500,Rodentia,Cricetidae,Lenoxus,Lenoxus_apicalis,53.6,589.3882991,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_family_same_body_mass
11503,Primates,Callitrichidae,Leontopithecus,Leontopithecus_caissara,604.01,3078.3735,PanTHERIA,no_information,no_information,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
40643,Primates,Callitrichidae,Leontopithecus,Leontopithecus_chrysomelas,572.8,2555,PanTHERIA,7774.5,AnAge,no_information,no_information,no_information,no_information,,GMA
11505,Primates,Callitrichidae,Leontopithecus,Leontopithecus_chrysopygus,656.12,3078.3735,PanTHERIA,6533.5,AnAge,no_information,no_information,no_information,no_information,,Mean_congenerics_same_body_mass
11506,Primates,Callitrichidae,Leontopithecus,Leontopithecus_rosalia,592.52,3601.747,PanTHERIA,10293,PanTHERIA;AnAge,9424.3,868.7,PanTHERIA,3601.747,,Rspan-AFB
15309,Carnivora,Felidae,Leopardus,Leopardus_colocolo,5000,2592.96,Smith_et_al._2003,7154,AnAge;_Carn_ung,6424,730,calculated,2592.96,,Rspan-ASMmales
15310,Carnivora,Felidae,Leopardus,Leopardus_geoffroyi,4000,2827.89,Smith_et_al._2003,8395,AnAge;_Carn_ung,7841,554,calculated,2827.89,,Rspan-AFR(SM+Gest)
