"","x"
"726","Gerbillus_cosensis"
"727","Gerbillus_dasyurus"
"728","Gerbillus_dunni"
"729","Gerbillus_floweri"
"730","Gerbillus_gerbillus"
"731","Gerbillus_harwoodi"
"732","Gerbillus_henleyi"
"733","Gerbillus_hesperinus"
"734","Gerbillus_hoogstraali"
"735","Gerbillus_juliani"
"736","Gerbillus_latastei"
"737","Gerbillus_mackillingini"
"738","Gerbillus_nancillus"
"739","Gerbillus_nanus"
"740","Gerbillus_nigeriae"
"741","Gerbillus_perpallidus"
"742","Gerbillus_poecilops"
"743","Gerbillus_pusillus"
"744","Gerbillus_pyramidum"
"745","Gerbillus_rosalinda"
"746","Gerbillus_rupicola"
"747","Gerbillus_simoni"
"748","Gerbillus_stigmonyx"
"749","Gerbillus_tarabuli"
"750","Glaucomys_sabrinus"
"751","Glaucomys_volans"
"752","Glironia_venusta"
"753","Glirulus_japonicus"
"754","Glis_glis"
"755","Glyphotes_simus"
"756","Golunda_ellioti"
"757","Gracilinanus_aceramarcae"
"758","Gracilinanus_agilis"
"759","Gracilinanus_dryas"
"760","Gracilinanus_marica"
"761","Gracilinanus_microtarsus"
"762","Grammomys_aridulus"
"763","Grammomys_cometes"
"764","Grammomys_dolichurus"
"765","Grammomys_dryas"
"766","Grammomys_ibeanus"
"767","Grammomys_kuru"
"768","Grammomys_macmillani"
"769","Grammomys_minnae"
"770","Grammomys_selousi"
"771","Graomys_domorum"
"772","Graomys_griseoflavus"
"773","Graphiurus_christyi"
"774","Graphiurus_crassicaudatus"
"775","Graphiurus_kelleni"
"776","Graphiurus_lorraineus"
"777","Graphiurus_microtis"
"778","Graphiurus_murinus"
"779","Graphiurus_nagtglasii"
"780","Graphiurus_ocularis"
"781","Graphiurus_platyops"
"782","Graphiurus_rupicola"
"783","Graphiurus_surdus"
"784","Gymnobelideus_leadbeateri"
"785","Gymnuromys_roberti"
"786","Habromys_lophurus"
"787","Habromys_simulatus"
"788","Haeromys_pusillus"
"789","Handleyomys_alfaroi"
"790","Handleyomys_chapmani"
"791","Handleyomys_fuscatus"
"792","Handleyomys_intectus"
"793","Handleyomys_rhabdops"
"794","Handleyomys_rostratus"
"795","Handleyomys_saturatior"
"796","Hapalomys_delacouri"
"797","Heimyscus_fumosus"
"798","Heliophobius_argenteocinereus"
"799","Heliosciurus_gambianus"
"800","Heliosciurus_mutabilis"
"801","Heliosciurus_punctatus"
"802","Heliosciurus_rufobrachium"
"803","Heliosciurus_ruwenzorii"
"804","Heliosciurus_undulatus"
"805","Hemibelideus_lemuroides"
"806","Hemicentetes_semispinosus"
"807","Hemiechinus_auritus"
"808","Hemiechinus_collaris"
"809","Heterocephalus_glaber"
"810","Heterogeomys_cherriei"
"811","Heterogeomys_dariensis"
"812","Heteromys_adspersus"
"813","Heteromys_australis"
"814","Heteromys_desmarestianus"
"815","Heteromys_gaumeri"
"816","Heteromys_irroratus"
"817","Heteromys_oresterus"
"818","Heteromys_pictus"
"819","Heteromys_salvini"
"820","Holochilus_brasiliensis"
"821","Holochilus_chacarius"
"822","Holochilus_sciureus"
"823","Hoplomys_gymnurus"
"824","Huetia_leucorhina"
"825","Hybomys_badius"
"826","Hybomys_trivirgatus"
"827","Hybomys_univittatus"
"828","Hydromys_chrysogaster"
"829","Hydromys_neobritannicus"
"830","Hyladelphys_kalinowskii"
"831","Hylaeamys_laticeps"
"832","Hylaeamys_megacephalus"
"833","Hylaeamys_oniscus"
"834","Hylaeamys_perenensis"
"835","Hylaeamys_tatei"
"836","Hylaeamys_yunganus"
"837","Hylomys_suillus"
"838","Hylomyscus_aeta"
"839","Hylomyscus_alleni"
"840","Hylomyscus_carillus"
"841","Hylomyscus_denniae"
"842","Hylomyscus_parvus"
"843","Hylomyscus_stella"
"844","Hylomyscus_walterverheyeni"
"845","Hylopetes_alboniger"
"846","Hylopetes_phayrei"
"847","Hylopetes_platyurus"
"848","Hylopetes_sipora"
"849","Hylopetes_spadiceus"
"850","Hylopetes_winstoni"
"851","Hyomys_dammermani"
"852","Hyomys_goliath"
"853","Hyosciurus_heinrichi"
"854","Hyosciurus_ileile"
"855","Hyperacrius_fertilis"
"856","Hyperacrius_wynnei"
"857","Hypsiprymnodon_moschatus"
"858","Hystrix_crassispinis"
"859","Hystrix_pumila"
"860","Hystrix_sumatrae"
"861","Ichthyomys_hydrobates"
"862","Ichthyomys_pittieri"
"863","Ictidomys_mexicanus"
"864","Ictidomys_tridecemlineatus"
"865","Idiurus_macrotis"
"866","Idiurus_zenkeri"
"867","Iomys_horsfieldii"
"868","Iomys_sipora"
"869","Isoodon_auratus"
"870","Isoodon_macrourus"
"871","Isoodon_obesulus"
"872","Isothrix_bistriata"
"873","Isothrix_negrensis"
"874","Isothrix_orinoci"
"875","Isothrix_pagurus"
"876","Isothrix_sinnamariensis"
"877","Jaculus_blanfordi"
"878","Jaculus_jaculus"
"879","Jaculus_orientalis"
"880","Jaculus_thaleri"
"881","Juliomys_pictipes"
"882","Juliomys_rimofrons"
"883","Kannabateomys_amblyonyx"
"884","Kerodon_acrobata"
"885","Kerodon_rupestris"
"886","Kunsia_tomentosus"
"887","Lagidium_viscacia"
"888","Lagorchestes_conspicillatus"
"889","Lagostomus_maximus"
"890","Lagurus_lagurus"
"891","Lariscus_insignis"
"892","Lasiopodomys_brandtii"
"893","Lasiopodomys_mandarinus"
"894","Leggadina_forresti"
